feature,coefficient
CD79A,9.607404107727903e-05
PMEPA1,-0.0004852607620986345
PRR15,-6.335245459510612e-05
ITGB4,0.0003447619252382246
FUCA1,0.00029534267050258713
SERPINE1,-0.00011359551278534264
MRPL51,0.0007098123463783573
PSMB7,-0.00024005078292842308
HSP90AA1,-6.048908699920539e-05
TPX2,2.707906079421952e-05
SPRR1B,9.359237837264067e-05
MRPL15,0.0003300782477404395
RHOV,3.2104025096350924e-05
GFRA3,-0.0002249355670858108
KLF4,-0.00042580308207521895
CCT7,7.330792840684074e-05
HMGA1,1.8338819087731624e-05
FXYD5,-0.00031729315457864113
PLP2,-1.2580224690957377e-05
PYGB,-4.198254522897716e-05
ERRFI1,-4.537767459316136e-05
APOL1,-0.00022936178076103205
TCN1,-0.0001448004525119334
AGRN,4.8996215206568166e-05
NME4,-3.880274428396832e-05
TOMM22,-0.00046328236750368924
LAMB3,-1.1642553579840765e-06
NIBAN2,-8.189586943729306e-05
CMAS,-3.017257065393074e-05
NPC2,9.034702775702231e-05
KLK12,9.17911004198205e-05
CYP4B1,4.7359786046288984e-05
GOLM1,-0.0002428775740477983
IER3,-0.00044739445114609123
C4BPA,-2.9122224432096456e-05
MARVELD1,-0.00040716478576532266
GAPDH,-7.175410528108625e-05
TNNC2,0.00026881548199630235
PFN1,-9.804869785674717e-05
EIF6,0.00017912452924867466
IGFBP1,-0.00014341419199007335
PLAUR,0.00031593073497674295
CYP24A1,-5.4146604501946844e-05
COL6A1,3.554807405158156e-05
KRT7,-0.00014039259543361442
PSMD8,0.0003375528376042977
GAA,-0.00014238720984113435
