feature,coefficient
LAMC2,-0.00011529140156315596
ATP5F1B,9.873435303379882e-06
PSMB7,-0.00027358848421860674
SELENOK,0.0006984715891125106
PERP,-5.5050117413490324e-05
FUCA1,0.0002001378700088859
PLAUR,2.7995509667091556e-05
TK1,2.6759000201568626e-05
CCT7,0.0005748984741101413
PTGES,-8.302137852836221e-05
BEX4,0.0004383971795324533
PCNA,0.00017929315135588005
HSPD1,-2.010228302213418e-05
C16orf89,2.535041730077618e-05
COL5A1,-8.910468398768861e-05
TPI1,0.00022472715198574363
PRPF19,-0.0003662826562482805
GPI,-0.0005201456258994275
SLC6A14,-0.00011998521091843252
EIF5A,-2.3439353090202947e-05
PFDN2,2.7439683983756023e-05
MDFI,0.0001243917893301847
KLF4,-1.0993984705484512e-05
AMBP,-4.077223623897695e-05
CDC42EP5,-0.0009578899535320864
AGRN,3.005534856632098e-05
SEMA4B,-0.0002550042173987958
TOMM22,-0.0002628442009946548
S100A16,-0.00010396495649954794
IGFBP1,-0.0003200651208459793
GTF3C6,-0.0007962655090597434
C4BPA,-4.666154178790583e-05
HSP90AA1,-9.625858359413268e-05
PLP2,7.466081440992667e-06
SPRR2D,4.606105309518569e-05
GJB2,0.0003074584110707705
ANGPTL4,-0.00032706164061456846
MAOB,0.00019665244217445166
GAPDH,-8.901128070755642e-05
TSKU,-0.00018285257607332173
SMS,-9.364243436234253e-06
CCL20,-4.022528172227591e-05
TM4SF1,-0.00018142048302242962
S100A11,2.7357104092405918e-05
GHITM,2.8290637386194174e-05
PTTG1,-0.0008794648620867205
TCN1,-0.00017696113638187295
PTTG1IP,2.339334669048409e-05
