feature,coefficient
XRCC6,-0.0004518556102957845
RPL28,-0.00010976701866713653
H2AZ1,-8.502525294469105e-05
RHOC,0.00014245061684262198
RTCB,0.0002123018106610088
IER3,-0.0003520342893246446
GPI,-0.0006127391182564508
C16orf89,0.00011608278598275837
FKBP4,-0.00026160032832221627
TM4SF1,-0.00016328501812130328
MRPS12,0.000503360627918367
RHOV,5.211289910040307e-05
MUC13,0.00012699497025950727
LAMC2,-0.0001552810782951642
LAMB3,6.29920955064887e-05
PLAUR,0.0004390799651105987
CYP24A1,-0.00010396266468271031
MDFI,6.119303778535714e-05
TK1,0.0001463478463747146
IFI35,0.00011447575625000038
MT2A,-8.833275548150606e-05
TNNC2,0.0004971481345233206
STIP1,-0.00017570253406680342
CCT2,5.7850921225726416e-05
APOL1,-0.00026932552900248055
SPRR1B,0.00016105851369928765
COL6A1,1.7134274858433425e-06
GJB2,0.00023989424828276153
SUMO2,0.0005943906376634343
ICMT,0.0006755037244440962
ATP5F1B,5.3507209034248476e-05
PMEPA1,-0.00019569323912000734
GOLM1,-0.00026336964903141515
TCN1,-0.00011782931947153271
S100A10,-3.028473120770601e-05
SLC7A8,4.3586770321463e-05
SELENBP1,-0.00010475464765367518
MARVELD1,-0.0008930757907269524
IGFBP1,-0.00033559129422383886
CXCL17,-3.18596870801336e-05
GHITM,0.0001104697853014406
TPI1,1.3051486177959332e-05
CCT6A,-3.522825882948571e-05
PFDN2,0.00010242354835664769
PFKP,-7.032023224068666e-05
GPD1L,9.821449223628837e-05
HMGA1,-5.835375732234186e-06
JCHAIN,2.6650503836990802e-05
CCL20,-0.00015662323404656378
TOMM22,-0.00031584891027243575
