feature,coefficient
TNFRSF12A,-0.0003096166990507371
RSL1D1,-2.523967301216415e-05
BTG1,0.0007492596254628778
GSTP1,1.3938902821720686e-05
EMD,-2.2158008474990336e-05
TGFB1,-0.00021411165835615012
CAMK2N1,-0.0007017357490404344
CIAO2B,-7.969228890270449e-05
SBDS,-0.00022415928181926533
HBEGF,-0.00017614397966319562
ZMAT2,-0.0003497806634535914
NQO1,-7.761749214068205e-05
RPN2,2.386436399241171e-05
ADGRG1,-0.0002866717591665443
SURF4,2.2243297240203134e-05
BRMS1,0.00015655758858800045
PDAP1,-0.00018275089317125063
SERPINE1,4.649800635120118e-05
TCEAL8,-9.739867960092513e-05
BCAM,-8.495003426217244e-05
DAD1,-0.0001550687756089303
PSMB7,-0.0002541635393339997
TOMM7,-3.166476765068592e-05
AREG,3.2273169460593663e-06
PPP1R14B,1.2566834866250522e-05
BEX3,-0.0003539006063396014
JCHAIN,3.594569616635777e-05
MRPL41,0.00014279897651371348
MT1X,-0.0006021733607203325
HSP90AB1,4.1190770652990774e-05
CDKN2A,0.0013718890775781952
TRIB3,-0.00020155793021153776
EEF1A2,-0.00037129681241129825
SMS,-5.667410799092975e-05
IL1A,-0.0001862188260129361
PSMC3,-0.0002192413784452928
SPINK6,0.0001465082061094584
FAU,-2.6474070264507765e-05
TCEAL9,-7.839275059030923e-05
COX8A,-4.9000238277354944e-05
CXCL13,0.00011887318631586019
CTNNAL1,0.00029515951348753225
F3,-3.7657919838173534e-05
HSP90AA1,-3.236594568910173e-06
